,title,movie_text_data
0,Miss Jerry,"Miss Jerry Miss Jerry Romance Alexander Black Alexander Black Alexander Black Photoplays Blanche Bayliss, William Courtenay, Chauncey Depew The adventures of a female reporter in the 1890s."
3,Cleopatra,"Cleopatra Cleopatra Drama, History Charles L. Gaskill Victorien Sardou Helen Gardner Picture Players Helen Gardner, Pearl Sindelar, Miss Fielding, Miss Robson, Helene Costello, Charles Sindelar, Mr. Howard, James R. Waite, Mr. Osborne, Harry Knowles, Mr. Paul, Mr. Brady, Mr. Corker The fabled queen of Egypt's affair with Roman general Marc Antony is ultimately disastrous for both of them."
5,"From the Manger to the Cross; or, Jesus of Nazareth","From the Manger to the Cross; or, Jesus of Nazareth From the Manger to the Cross; or, Jesus of Nazareth Biography, Drama Sidney Olcott Gene Gauntier Kalem Company R. Henderson Bland, Percy Dyer, Gene Gauntier, Alice Hollister, Samuel Morgan, James D. Ainsley, Robert G. Vignola, George Kellog, J.P. McGowan An account of the life of Jesus Christ, based on the books of the New Testament: After Jesus' birth is foretold to his parents, he is born in Bethlehem, and is visited by shepherds and wise..."
17,"Home, Sweet Home","Amore di madre Home, Sweet Home Drama D.W. Griffith D.W. Griffith, H.E. Aitken Majestic Motion Picture Company Henry B. Walthall, Josephine Crowell, Lillian Gish, Dorothy Gish, Fay Tincher, Mae Marsh, Spottiswoode Aitken, Robert Harron, Miriam Cooper, Mary Alden, Donald Crisp, James Kirkwood, Jack Pickford, Fred Burns, Courtenay Foote John Howard Payne at his most miserable point in life, writes a song which becomes popular and inspires other people at some point in their lives."
19,Traffic in Souls,"Traffic in Souls Traffic in Souls Crime, Drama George Loane Tucker  Independent Moving Pictures Co. of America (IMP) Jane Gail, Ethel Grandin, William H. Turner, Matt Moore, William Welsh, Millie Liston, Irene Wallace, William Cavanaugh, Arthur Hunter, Howard Crampton, W.H. Bainbridge, Luray Huntley, William Powers, Jack Poulton, Edward Boring A woman, with the aid of her police officer sweetheart, endeavors to uncover the prostitution ring that has kidnapped her sister, and the philanthropist who secretly runs it."
22,The Avenging Conscience: or 'Thou Shalt Not Kill',"The Avenging Conscience: or 'Thou Shalt Not Kill' The Avenging Conscience: or 'Thou Shalt Not Kill' Crime, Drama, Horror D.W. Griffith Edgar Allan Poe, D.W. Griffith Majestic Motion Picture Company Henry B. Walthall, Spottiswoode Aitken, Blanche Sweet, George Siegmann, Ralph Lewis, Mae Marsh, Robert Harron, George Beranger Prevented from dating his sweetheart by his uncle, a young man turns his thoughts to murder."
23,The Bargain,"The Bargain The Bargain Western Reginald Barker William H. Clifford, Thomas H. Ince New York Motion Picture William S. Hart, J. Frank Burke, Clara Williams, J. Barney Sherry, Joseph J. Dowling After the bandit Jim Stokes robs the stage he is wounded fleeing. Recuperating at a ranch, he falls in love with and marries the daughter. Now wishing to go straight he tries to return the ..."
25,Cinderella,"Cinderella Cinderella Fantasy, Drama James Kirkwood Charles Perrault Famous Players Film Company Mary Pickford, Owen Moore, Isabel Vernon, Georgia Wilson, Lucille Carney, W.N. Cone, Inez Ranous Though mistreated by her cruel stepmother and stepsisters, Cinderella is able to attend the royal ball through the help of a fairy godmother."
28,A Florida Enchantment,"A Florida Enchantment A Florida Enchantment Comedy Sidney Drew Marguerite Bertsch, Archibald Clavering Gunter Vitagraph Company of America Sidney Drew, Edith Storey, Charles Kent, Mrs. Sidney Drew, Ada Gifford, Ethel Lloyd, Lillian Burns, Grace Stevens, Allan Campbell, Cortland Van Deusen, Frank O'Neil A young woman discovers a seed that can make women act like men and men act like women. She decides to take one, then slips one to her maid and another to her fiancé. The fun begins."
31,"His Majesty, the Scarecrow of Oz","His Majesty, the Scarecrow of Oz His Majesty, the Scarecrow of Oz Family, Fantasy, Adventure J. Farrell MacDonald L. Frank Baum, L. Frank Baum The Oz Film Manufacturing Company Violet MacMillan, Frank Moore, Pierre Couderc, Fred Woodward, Raymond Russell, Arthur Smollet, J. Charles Haydon, Todd Wright, Vivian Reed, Mai Wells, Mildred Harris, Louise Emmons, Jacqueline Lovell A wicked king has taken over the Emerald City, and wants his daughter, Princess Gloria, to marry the horrid courtier Googly-Goo, though she loves Pon, the Gardener's Boy. The camera now ..."
32,Hypocrites,"Hypocrites Hypocrites Drama Lois Weber Lois Weber Hobart Bosworth Productions Courtenay Foote, Myrtle Stedman, Herbert Standing, Adele Farrington The parallel stories of a modern preacher and a medieval monk, Gabriel the Ascetic, who is killed by an ignorant mob for making a nude statue representing Truth, which is also represented by a ghostly naked girl who flits throughout the film."
34,Judith of Bethulia,"Judith of Bethulia Judith of Bethulia Drama D.W. Griffith Thomas Bailey Aldrich, D.W. Griffith Biograph Company Blanche Sweet, Henry B. Walthall, Mae Marsh, Robert Harron, Kate Bruce, Lillian Gish, J. Jiquel Lanoe, Gertrude Bambrick, Dorothy Gish, Harry Carey A religious woman seeks to save her people from destruction by seducing and murdering the enemy leader, but her plans get complicated once she falls for him."
35,The Patchwork Girl of Oz,"The Patchwork Girl of Oz The Patchwork Girl of Oz Adventure, Family, Fantasy J. Farrell MacDonald L. Frank Baum, L. Frank Baum The Oz Film Manufacturing Company Violet MacMillan, Frank Moore, Raymond Russell, Leontine Dranet, Bobbie Gould, Marie Wayne, Richard Rosson, Frank Bristol, Fred Woodward, Todd Wright, Bert Glennon, Hal Roach, Dave Anderson, Jessie May Walsh, William Cook Ojo and Unc Nunkie are out of food, so they decide to journey to the Emerald City where they will never starve. Along the way, they meet Mewel, a waif and stray (mule) who leads them to Dr...."
36,The Perils of Pauline,"The Perils of Pauline The Perils of Pauline Action, Adventure, Drama Louis J. Gasnier, Donald MacKenzie Charles W. Goddard, Basil Dickey Pathé Frères Pearl White, Crane Wilbur, Paul Panzer, Edward José, Francis Carlyle, Clifford Bruce, Donald MacKenzie, Jack Standing, Eleanor Woodruff, Leroy Baker, Louise Du Pre, Oscar Nye, Sam J. Ryan, Louis J. Gasnier, Joe Cuny Young Pauline is left a lot of money when her wealthy uncle dies. However, her uncle's secretary has been named as her guardian until she marries, at which time she will officially take ..."
37,The Squaw Man,"The Squaw Man The Squaw Man Action, Drama, Romance Oscar Apfel, Cecil B. DeMille Edwin Milton Royle, Cecil B. DeMille Jesse L. Lasky Feature Play Company Dustin Farnum, Monroe Salisbury, Winifred Kingston, Mrs. A.W. Filson, Haidee Fuller, Red Wing, Foster Knox, Fred Montague, 'Baby' Carmen De Rue, Fernando Gálvez, Eugene De Rue, H.R. Macy, H.L. Swisher, Michael J. Kilpatrick, Sydney Deane A chivalrous British officer takes the blame for his cousin's embezzlement and journeys to the American West to start a new life on a cattle ranch."
38,Tess of the Storm Country,"La madonnina del porto Tess of the Storm Country Drama Edwin S. Porter Grace Miller White, B.P. Schulberg Famous Players Film Company Mary Pickford, Harold Lockwood, Olive Carey, David Hartford, Louise Dunlap, William Walters, Richard Garrick, Eugene Walter, Jack Henry, H.R. Macy, H.L. Griffith A wealthy resident attempts to dispossess squatters who live near his home, which leads to a false accusation of murder."
39,Tillie's Punctured Romance,"Tillie's Punctured Romance Tillie's Punctured Romance Comedy Mack Sennett, Charles Bennett  Keystone Film Company Marie Dressler, Charles Chaplin, Mabel Normand, Mack Swain, Charles Bennett, Chester Conklin A con man from the city dupes a wealthy country girl into marriage."
41,Uncle Tom's Cabin,"Uncle Tom's Cabin Uncle Tom's Cabin Drama William Robert Daly Harriet Beecher Stowe, George L. Aiken World Film Sam Lucas, Walter Hitchcock, Hattie Delaro, Master Abernathy, Teresa Michelena, Irving Cummings, Paul Scardon, Marie Eline, Garfield Thompson, Roy Applegate, Boots Wall A black and white silent film based on Harriet Beecher Stowe's novel documenting the life and times of Uncle Tom."
42,The Virginian,"The Virginian The Virginian Western Cecil B. DeMille Owen Wister, Kirk La Shelle Jesse L. Lasky Feature Play Company Dustin Farnum, Jack W. Johnston, Sydney Deane, William Elmer, Winifred Kingston, James Griswold, Horace B. Carpenter, Tex Driscoll A good-natured but chivalrous cowboy romances the local schoolmarm and leads the posse that brings a gang of rustlers, which includes his best friend, to justice."
43,The Wishing Ring: An Idyll of Old England,"The Wishing Ring: An Idyll of Old England The Wishing Ring: An Idyll of Old England Comedy, Drama Maurice Tourneur Owen Davis, Maurice Tourneur Shubert Film Corporation Vivian Martin, Alec B. Francis, Chester Barnett, Gyp Williams, Simeon Wiltsie, Walter Morton, Johnny Hines After being expelled from college, Giles runs away from home and meets a young lady who he falls for."
44,The Wrath of the Gods,"The Wrath of the Gods The Wrath of the Gods Drama, Romance Reginald Barker William H. Clifford, Thomas H. Ince New York Motion Picture Sessue Hayakawa, Tsuru Aoki, Frank Borzage, Kisaburô Kurihara, Henry Kotani, Gladys Brockwell, Herschel Mayall An American sailor falls in love with a fisherman's daughter and convinces her that Jesus is more powerful than the gods who have cursed her."
45,Alias Jimmy Valentine,"Alias Jimmy Valentine Alias Jimmy Valentine Crime, Drama Maurice Tourneur Paul Armstrong, O. Henry Peerless Productions Robert Warwick, Robert Cummings, Alec B. Francis, Frederick Truesdell, Ruth Shepley, Johnny Hines, D.J. Flanagan, Walter Craven, John Boone, George Cummings, Thomas Mott Osborne After robbing a bank, a criminal is wrongfully pardoned from prison."
